unit_group,n,studies,row_wise,row_wise_lo,row_wise_hi,study_grouped,study_grouped_lo,study_grouped_hi,leakage_gap
all routes,196,80,0.34373723969945824,-0.2449091876976149,0.603946462050534,-0.13701180186418205,-1.0649429625461535,0.3475984424993383,0.4807490415636403
route A,116,40,0.48116022650496365,-0.9347243087841748,0.768846858717278,-0.926245309710628,-16.0993094943289,0.30116091549570456,1.4074055362155917
route B,48,34,0.05695187010870517,-1.4657516794416066,0.35882941606443797,-0.19125619151566897,-2.7966044129190366,0.5814749161464839,0.24820806162437414
route C,32,11,0.5366726617736772,-0.525659423276125,0.9527860870075043,-1.7028732847752868,-19.011182224497784,0.04797079825165271,2.239545946548964
