subset,n,studies,noise_aug_random,noise_aug_random_lo,noise_aug_random_hi,row_wise,row_wise_lo,row_wise_hi,study_grouped,study_grouped_lo,study_grouped_hi,mean_predictor,leakage_gap,margin_over_mean,icc
all harmonised records,196,80,0.6591454704273563,0.5288542129041115,0.8038190366024334,0.34373723969945835,-0.2449091876976149,0.603946462050534,-0.13701180186418194,-1.0649429625461535,0.3475984424993383,-0.09406699108395333,0.4807490415636403,-0.042944810780228604,0.6617071041838827
"excluding COD, dry-biomass and unstated bases",186,78,0.7066290560490958,0.45743331553377703,0.8162507031080862,0.3363577456472089,-0.4746177558226586,0.6267799911530177,-0.18140976885622062,-1.037371523476576,0.46238727266982843,-0.06281962358382764,0.5177675145034295,-0.11859014527239298,0.6468849473628592
excluding the Group C hexose-equivalent convention also,154,70,0.6428590968539545,0.41746257353946176,0.7611040468341917,0.3272882152901158,-0.8236288282253346,0.5624319752159108,-0.364511979442394,-1.7466187845898193,0.34415862440129646,-0.08372198638341566,0.6918001947325099,-0.28078999305897834,0.5995390595418106
native volatile solids only,108,38,0.7266065983341996,0.37350004488510136,0.9152379153274595,0.3330477422617929,-0.94071271410338,0.8141346807332033,-0.7386664814983764,-3.978276532075703,0.06681628543743913,-0.2806463101477842,1.0717142237601693,-0.45802017135059225,0.671864038770673
