training_studies,median_grouped_r2,lo,hi,n_repeats
10,-0.14397038484171443,-0.23487803902157112,-0.028102414626648864,15
20,-0.13428111028262846,-0.2030496569564587,-0.048047565724995134,15
30,-0.28637080699468487,-0.3119293958962499,-0.24356122908123556,15
40,-0.30607044192179167,-0.3256615609665887,-0.24827962032045392,15
50,-0.310633476925094,-0.34499447706502606,-0.27756041933733344,15
60,-0.30398565147236,-0.3233124077283618,-0.29481455597542894,15
