arm,median,pct_lo,pct_hi,n_resamples
"Random Forest, default",-0.07559225466067143,-0.8208648682892382,0.2264283363173905,12
"Random Forest, tuned",-0.009451518894687094,-0.8726782282265775,0.1415060243969816,12
