ladder,model,median,pct_lo,pct_hi,n_resamples
noise_augmented_random,RandomForest,0.6591454704273563,0.5288542129041116,0.8038190366024334,40
noise_augmented_random,CatBoost,0.6935753684673247,0.5351386249214941,0.8303170593098428,40
row_wise,RandomForest,0.34373723969945824,-0.2449091876976149,0.603946462050534,40
row_wise,CatBoost,0.3263637007189215,0.03545688596320143,0.6262708240972011,40
study_grouped,RandomForest,-0.13701180186418194,-1.0649429625461535,0.3475984424993383,40
study_grouped,CatBoost,-0.1610601384461805,-1.3545950219026677,0.39558874124446697,40
study_grouped,Ridge,-0.37591038010107025,-1.8985022416746955,0.18851409279058862,40
study_grouped,MeanPredictor,-0.09406699108395333,-1.1717984239586872,-0.00012733174432638677,40
factorial_aug0_row_wise,RandomForest,0.3437372396994583,-0.2449091876976149,0.603946462050534,40
factorial_aug0_study_grouped,RandomForest,-0.13701180186418183,-1.0649429625461535,0.3475984424993383,40
factorial_aug1_row_wise,RandomForest,0.659145470427356,0.5288542129041115,0.8038190366024333,40
factorial_aug1_study_grouped,RandomForest,-0.1514546787597727,-1.1869142939215633,0.32139002427823277,40
