model,rmse_median,rmse_lo,rmse_hi,mae_median,target_sd,rmse_over_sd,pct_reduction_vs_sd
RandomForest,0.11193086213117696,0.0795231931914602,0.2538042070837997,0.08752706105488985,0.13334344477234175,0.8394178080690607,16.058219193093926
CatBoost,0.10543990648746637,0.07401537661469408,0.24775095571153705,0.08239202699360905,0.13334344477234175,0.7907393323120211,20.92606676879789
Ridge,0.12170786398809497,0.08119094727055176,0.23087577081422256,0.09656337690483133,0.13334344477234175,0.9127397615674899,8.726023843251006
MeanPredictor,0.11196984861180645,0.08751017763252981,0.21953399205277646,0.09297994166666665,0.13334344477234175,0.8397101845011834,16.02898154988166
