study_removed,rows_removed,n,median,pct_lo,pct_hi,n_resamples
none (full set),0,196,-0.13701180186418216,-1.0649429625461535,0.3475984424993383,40
"Cárdenas et al., 2018",16,180,-0.2111421884272059,-0.9082821007230384,0.17058312750861965,40
"Akhbari & Ibrahim, 2022",13,183,-0.19693253416864565,-1.1440503714474395,0.25987099474216285,40
"Ghimire et al., 2015",11,185,-0.24877752374439732,-1.09320733664209,0.18811020562812159,40
"Albuquerque et al., 2024",11,185,-0.14263189720016822,-0.8596306083397082,0.21825664478447696,40
"Di Perta et al., 2022",11,185,-0.12340036029817647,-0.87821183548096,0.22479097640744458,40
"Łukajtis et al., 2018",9,187,-0.19255446227674378,-1.5280087554099313,0.2796219658308144,40
