study_removed,rows_removed,n,median_r2,ci_lo,ci_hi
none (full set),0,224,-0.17397764960612472,-0.9532648284236933,0.3549974984684987
"Cárdenas et al., 2018",22,202,-0.12754632216792383,-2.1718362763551835,0.39655936879327097
"Okonkwo, 2019",15,209,-0.24518227954430316,-1.269819501119919,0.2572166293968442
"Ergal et al., 2022",14,210,-0.19259699384842843,-2.496163439300637,0.3579910681114924
"Akhbari & Ibrahim, 2022",11,213,-0.10755903716035375,-1.597041730851666,0.3401052408697013
"Di Perta et al., 2022",11,213,-0.060843329477430985,-1.7590604001951833,0.358232184631228
"Albuquerque et al., 2024",11,213,-0.0950815380724358,-1.6412011286217372,0.36771411079600813
