model,median_r2,ci_lo,ci_hi
Random Forest,-0.17397764960612472,-0.9532648284236933,0.3549974984684987
CatBoost,-0.3504365763734675,-1.1567619606996846,0.29144516216606203
XGBoost,-0.49815686920574975,-2.526031821198165,0.23777280232767475
LightGBM,-0.24912494915936234,-1.3875258766253291,0.33085049261239863
Ridge (one-hot),-0.3138300676639745,-1.6999620662384933,0.26792320898320815
Mean predictor,-0.18017410055186356,-1.0818004221862274,-3.299320032864598e-05
