resample,study,n,study_mean,dist_from_train_mean,mae
20,"Jain et al., 2022",1,0.3732,0.24012341104294474,0.18705818154761816
20,"Zhu & Beland, 2006",1,0.0282,0.10487658895705523,0.1841196041666665
20,"Rydén & Lyngfelt, 2006",1,0.00102,0.13205658895705524,0.10015549825244224
20,"Pendyala et al., 2012",1,0.056,0.07707658895705524,0.15604160416666654
20,"Levin et al., 2006",2,0.14865,0.015573411042944768,0.14182586672619013
20,"Albuquerque et al., 2024",11,0.11996454545454545,0.013112043502509788,0.05052396396743401
20,"Lee et al., 2006",1,0.128,0.005076588957055234,0.08387670000000069
20,"Ito et al., 2005",1,0.2726,0.13952341104294477,0.17513954166666654
20,"Kargi & Pamukoglu, 2009",1,0.3857,0.2526234110429447,0.1727278083333327
20,"Wang & Wan, 2008",1,0.219,0.08592341104294476,0.1525959999999998
20,"Ergal et al., 2022",14,0.2817928571428571,0.1487162681858019,0.13466271716269845
21,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.12082156287425144,0.06540019267857158
21,"Kumar & Das, 2000b",1,0.2737,0.09287843712574856,0.04317121369047561
21,"Shen et al., 2010",1,0.19276,0.011938437125748547,0.07258605249999989
21,"Kargi et al., 2012",2,0.111,0.06982156287425144,0.005544782023358605
21,"Fang et al., 2005",1,0.346,0.16517843712574853,0.26639673336309533
21,"Fang & Liu, 2002",1,0.2613,0.08047843712574854,0.015950758712120372
21,"Nguyen et al., 2008",1,0.2737,0.09287843712574856,0.1431758532142858
21,"Gómez et al., 2006",1,0.0713,0.10952156287425144,0.0567356145238096
21,"Chaganti et al., 2012",1,0.056,0.12482156287425145,0.049171187896825154
21,"Lin & Chang, 2003",1,0.2115,0.030678437125748553,0.09074168295454602
21,"Chen et al., 2007",1,0.1539,0.02692156287425143,0.00037822083333377554
21,"Di Perta et al., 2022",11,0.1261818181818182,0.05463974469243324,0.0542993401650432
21,"Ito et al., 2005",1,0.2726,0.09177843712574857,0.16456399583333314
21,"Fan et al., 2005",3,0.071,0.10982156287425145,0.03527807409722231
21,"Cao et al., 2014",4,0.0486735,0.13214806287425143,0.09083743322172641
21,"Chen et al., 2012",1,0.0248,0.15602156287425145,0.18333628391636128
21,"Cárdenas et al., 2018",22,0.007872727272727273,0.17294883560152416,0.1126035205230882
22,"Geng et al., 2010",1,0.1692,0.03403558988764044,0.0676153699404761
22,"Shen et al., 2010",1,0.19276,0.057595589887640436,0.07236491553571409
22,"Tapia-Venegas et al., 2012",1,0.3359,0.20073558988764043,0.15263550499999978
22,"Chang et al., 2010",1,0.2264,0.09123558988764044,0.116870750714286
22,"Mars et al., 2010",2,0.3415,0.20633558988764047,0.201466668333334
22,"Gonzales et al., 2016",3,0.1327,0.0024644101123595386,0.04554269107219169
22,"Jain et al., 2022",1,0.3732,0.23803558988764043,0.15521544374999974
22,"Zhu & Beland, 2006",1,0.0282,0.10696441011235955,0.11887918452380894
22,"Łukajtis et al., 2018",7,0.18394714285714286,0.048782732744783314,0.13189565253710583
22,"Massanet-Nicolau et al., 2009",1,0.027,0.10816441011235955,0.08050389250000009
22,"Yang et al., 2006",1,0.1045,0.030664410112359555,0.13504024264652037
22,"Panagiotopoulos et al., 2010",4,0.307925,0.17276058988764045,0.20125089708333366
22,"Mandal et al., 2006",2,0.3608,0.22563558988764046,0.17716097958333393
22,"Fan et al., 2005",3,0.071,0.06416441011235956,0.034260582559523786
22,"Gavala et al., 2005",1,0.0463,0.08886441011235954,0.15492896731962455
22,"Kim, 2004",1,0.1229,0.012264410112359556,0.023603477083333116
22,"Okonkwo, 2019",15,0.30300000000000005,0.1678355898876405,0.1688579788324077
23,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.11225901775147928,0.0675348927777778
23,"Sun et al., 2014",1,0.2737,0.10144098224852072,0.04447452083333281
23,"Ghimire et al., 2015",4,0.0995,0.07275901775147928,0.043836895606060716
23,"Fang et al., 2005",1,0.346,0.1737409822485207,0.27875612460317467
23,"Fang & Liu, 2002",1,0.2613,0.0890409822485207,0.016233595833332948
23,"Azbar et al., 2009",3,0.19799033333333335,0.02573131558185407,0.06795403844246026
23,"Gómez et al., 2006",1,0.0713,0.10095901775147928,0.043266650416666774
23,"Liu et al., 2009",1,0.0249,0.14735901775147928,0.23489415729166654
23,"Cai et al., 2009",1,0.0072,0.16505901775147927,0.14711678229166592
23,"Wang & Yin, 2018",1,0.016,0.15625901775147927,0.09135583833333356
23,"Tang et al., 2008",1,0.319,0.14674098224852072,0.23293393442460325
23,"Łukajtis et al., 2018",7,0.18394714285714286,0.011688125105663583,0.12452647291743961
23,"Cai et al., 2004b",1,0.31,0.13774098224852072,0.19506484523809497
23,"Panagiotopoulos et al., 2010",4,0.307925,0.13566598224852072,0.06701785905296125
23,"Zhi & Wang, 2014",1,0.00098,0.17127901775147927,0.03216583853708787
23,"Alzate-Gaviria et al., 2007",1,0.099,0.07325901775147928,0.0028862502182538385
23,"Cárdenas et al., 2018",22,0.007872727272727273,0.164386290478752,0.0990390017382618
24,"Collet, 2004",2,0.07365,0.06355728494623653,0.1187808362500003
24,"Slezak et al., 2017",1,0.076,0.06120728494623652,0.01666623607142849
24,"Kotsopoulos et al., 2006",1,0.3073,0.1700927150537635,0.14995200750000015
24,"Fang et al., 2005",1,0.346,0.20879271505376346,0.26862624300595234
24,"Fang & Liu, 2002",1,0.2613,0.12409271505376346,0.01359202047618982
24,"Kontodimos et al., 2025",2,0.00715,0.13005728494623653,0.25944900751534516
24,"Veeravalli et al., 2014",1,0.3185,0.1812927150537635,0.23234364630952375
24,"Tang et al., 2008",1,0.319,0.1817927150537635,0.2194851618750002
24,"Massanet-Nicolau et al., 2009",1,0.027,0.11020728494623652,0.05252128773809543
24,"Chen et al., 2007",1,0.1539,0.01669271505376349,0.04125415505952437
24,"Levin et al., 2006",2,0.14865,0.011442715053763486,0.07923231333495666
24,"Panagiotopoulos et al., 2010",4,0.307925,0.17071771505376349,0.10989559657106782
24,"Mars et al., 2010",2,0.3415,0.2042927150537635,0.190439895416667
24,"Kumar & Das, 2000b",1,0.2737,0.13649271505376348,0.04693496976190423
24,"Chen et al., 2012",1,0.0248,0.11240728494623652,0.1262522336731598
24,"Wang & Wan, 2008",1,0.219,0.08179271505376348,0.1649045237500001
24,"Okonkwo, 2019",15,0.30300000000000005,0.16579271505376353,0.14806261777900456
25,"Chang et al., 2010",1,0.2264,0.06429747395833332,0.12099994333333379
25,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.10299616240530303,0.09634887141233762
25,"Kontodimos et al., 2025",2,0.00715,0.15495252604166668,0.258465401833481
25,"Veeravalli et al., 2014",1,0.3185,0.15639747395833334,0.21626892872619025
25,"Wang & Yin, 2018",1,0.016,0.14610252604166668,0.10178441060714315
25,"Jain et al., 2022",1,0.3732,0.2110974739583333,0.1858104938492055
25,"Martins et al., 2022",3,0.00944,0.15266252604166666,0.2775940170710556
25,"Pendyala et al., 2012",1,0.056,0.10610252604166667,0.03397398999999946
25,"Chen et al., 2007",1,0.1539,0.008202526041666658,0.005148497222221826
25,"Tang et al., 2008",1,0.319,0.15689747395833334,0.23530951916666676
25,"Lee et al., 2006",1,0.128,0.034102526041666664,0.02948144166666658
25,"Morimoto et al., 2003",1,0.2613,0.09919747395833331,0.11987226083333322
25,"Nam et al., 2015",1,0.062,0.10010252604166667,0.05322534178571452
25,"Zhi & Wang, 2014",1,0.00098,0.16112252604166666,0.03239904511405261
25,"Baeyens et al., 2020",2,0.2872,0.12509747395833334,0.12558901416666682
25,"Gavala et al., 2005",1,0.0463,0.11580252604166666,0.20751920200269186
25,"Ottaviano et al., 2016",2,0.2066,0.04449747395833334,0.03370000000000001
26,"Gavala et al., 2005",1,0.0463,0.11021992227979271,0.16048562610735076
26,"Geng et al., 2010",1,0.1692,0.012680077720207267,0.020948103333333662
26,"Kotsopoulos et al., 2006",1,0.3073,0.1507800777202073,0.14033211583333374
26,"Tapia-Venegas et al., 2012",1,0.3359,0.17938007772020725,0.11469887583333313
26,"Kargi et al., 2012",2,0.111,0.04551992227979272,0.03462320423611106
26,"Mars et al., 2010",2,0.3415,0.1849800777202073,0.10108721428571335
26,"Wang & Yin, 2018",1,0.016,0.1405199222797927,0.1381590661309528
26,"Jain et al., 2022",1,0.3732,0.21668007772020725,0.1902874166666656
26,"Albuquerque et al., 2024",11,0.11996454545454545,0.036555376825247274,0.04322677096090765
26,"Pan et al., 2008",2,0.048,0.10851992227979272,0.08193996152083348
26,"Yang et al., 2006",1,0.1045,0.05201992227979273,0.1230945903571433
26,"Lee et al., 2006",1,0.128,0.02851992227979272,0.04178141666666674
26,"Morimoto et al., 2003",1,0.2613,0.10478007772020725,0.14748790333333356
26,"Bundhoo et al., 2015",1,0.2239,0.06738007772020727,0.04098741666666561
26,"Alzate-Gaviria et al., 2007",1,0.099,0.05751992227979272,0.001344889674603153
26,"Zahedi et al., 2012",1,0.052,0.10451992227979273,0.17343410541666635
26,"Luo et al., 2010",2,0.06005,0.09646992227979273,0.21325784780393242
27,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.3221088095238096,0.42399371212301573
27,"Liu et al., 2015",2,0.061,0.08278007936507939,0.05463038089285703
27,"Zahedi et al., 2012",1,0.052,0.0917800793650794,0.04231505325000003
27,"Fan et al., 2005",3,0.071,0.0727800793650794,0.036077724309523836
27,"Valdezvazquez et al., 2004",3,0.295,0.1512199206349206,0.17067671388888903
27,"Dounavis et al., 2015",1,0.1266,0.017180079365079398,0.04684418666666654
27,"Wang & Yin, 2018",1,0.016,0.1277800793650794,0.11947751033333383
27,"Massanet-Nicolau et al., 2009",1,0.027,0.11678007936507939,0.07182468833333329
27,"Tang et al., 2008",1,0.319,0.17521992063492062,0.24380844244047611
27,"Han et al., 2014",1,0.2167,0.07291992063492062,0.0170112380952378
27,"Yang et al., 2006",1,0.1045,0.03928007936507939,0.10935589166666683
27,"Lee et al., 2006",1,0.128,0.015780079365079386,0.05220640000000032
27,"Trad et al., 2015",3,0.11396666666666666,0.029813412698412728,0.07217275838888894
27,"Martins et al., 2022",3,0.00944,0.13434007936507938,0.09405119666666673
27,"Baeyens et al., 2020",2,0.2872,0.14341992063492062,0.10561098541666689
27,"Chen et al., 2012",1,0.0248,0.11898007936507939,0.0863071819047619
27,"Wang & Wan, 2008",1,0.219,0.07521992063492061,0.16858580000000012
28,"Kotsopoulos et al., 2006",1,0.3073,0.15858860248447207,0.13515313895833356
28,"Ghimire et al., 2015",4,0.0995,0.049211397515527944,0.04628011665178576
28,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.08960503387916431,0.08905652247059126
28,"Valdezvazquez et al., 2004",3,0.295,0.14628860248447204,0.18066700250000003
28,"Gómez et al., 2006",1,0.0713,0.07741139751552795,0.03138183392857159
28,"Tang et al., 2008",1,0.319,0.17028860248447206,0.2404732617857144
28,"Luo et al., 2010",2,0.06005,0.08866139751552796,0.15742486306953501
28,"Derdiche et al., 2025",5,0.06497,0.08374139751552795,0.06041252824087022
28,"Chen et al., 2007",1,0.1539,0.00518860248447206,0.0034498368055549955
28,"Di Perta et al., 2022",11,0.1261818181818182,0.02252957933370975,0.057132586987734386
28,"Panagiotopoulos et al., 2010",4,0.307925,0.15921360248447206,0.05511159172008587
28,"Ito et al., 2005",1,0.2726,0.12388860248447206,0.18125090702380942
28,"Kargi & Pamukoglu, 2009",1,0.3857,0.23698860248447204,0.19206991666666623
28,"Chen et al., 2012",1,0.0248,0.12391139751552795,0.1672008673128676
28,"Dounavis et al., 2015",1,0.1266,0.02211139751552796,0.026817053630952215
28,"Wang & Wan, 2008",1,0.219,0.07028860248447205,0.16553426666666665
28,"Ergal et al., 2022",14,0.2817928571428571,0.13308145962732917,0.12961703434948985
29,"Gavala et al., 2005",1,0.0463,0.10212437172774869,0.1510651255994696
29,"Muri et al., 2016",1,0.36,0.2115756282722513,0.24618376186309526
29,"Kontodimos et al., 2025",2,0.00715,0.1412743717277487,0.22242177016872416
29,"Liu et al., 2009",1,0.0249,0.12352437172774869,0.2032526999999997
29,"Cai et al., 2009",1,0.0072,0.14122437172774868,0.16475792499999917
29,"Tang et al., 2008",1,0.319,0.1705756282722513,0.2341771326785716
29,"Massanet-Nicolau et al., 2009",1,0.027,0.1214243717277487,0.03884722166666671
29,"Pan et al., 2008",2,0.048,0.10042437172774869,0.08134338345833322
29,"Levin et al., 2006",2,0.14865,0.00022562827225131032,0.15382592416666646
29,"Lee et al., 2009",1,0.148,0.00042437172774870136,0.20685120000000165
29,"Lee et al., 2006",1,0.128,0.02042437172774869,0.09580116666666733
29,"Kargi & Pamukoglu, 2009",1,0.3857,0.2372756282722513,0.12852043333333263
29,"Bundhoo et al., 2015",1,0.2239,0.0754756282722513,0.026403404166666644
29,"Kim, 2004",1,0.1229,0.0255243717277487,0.01916379803571419
29,"Zahedi et al., 2012",1,0.052,0.0964243717277487,0.1840205434523808
29,"Wang & Wan, 2008",1,0.219,0.0705756282722513,0.09835766666666705
29,"Ergal et al., 2022",14,0.2817928571428571,0.13336848541510843,0.1358074725949546
30,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.3399449059343435,0.4155397148148147
30,"Liu et al., 2015",2,0.061,0.06494398295454545,0.0535
30,"Tapia-Venegas et al., 2012",1,0.3359,0.20995601704545452,0.09798747499999971
30,"Fang et al., 2005",1,0.346,0.22005601704545452,0.2914966630889249
30,"Valdezvazquez et al., 2004",3,0.295,0.16905601704545453,0.20734156311297502
30,"Gómez et al., 2006",1,0.0713,0.05464398295454545,0.03659382589285709
30,"Liu et al., 2009",1,0.0249,0.10104398295454545,0.2303470458333333
30,"Alzate-Gaviria et al., 2007",1,0.099,0.026943982954545448,0.048087536223845574
30,"Rydén & Lyngfelt, 2006",1,0.00102,0.12492398295454546,0.12591849583333353
30,"Cai et al., 2004b",1,0.31,0.18405601704545455,0.17136410791666612
30,"Lee et al., 2009",1,0.148,0.02205601704545454,0.21723821726190642
30,"Panagiotopoulos et al., 2010",4,0.307925,0.18198101704545455,0.055549767336309536
30,"Nam et al., 2015",1,0.062,0.06394398295454545,0.04629334083333363
30,"Cao et al., 2014",4,0.0486735,0.07727048295454544,0.10361569728422645
30,"Han et al., 2014",1,0.2167,0.09075601704545455,0.011776446428571785
30,"Ergal et al., 2022",14,0.2817928571428571,0.15584887418831167,0.13704056099090384
30,"Ottaviano et al., 2016",2,0.2066,0.08065601704545455,0.11010282630952395
31,"Tapia-Venegas et al., 2012",1,0.3359,0.15021731292517004,0.12795887749999993
31,"Zahedi et al., 2012",1,0.052,0.13368268707482994,0.1522060948809521
31,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.1265763234384663,0.07854125671044869
31,"Fan et al., 2005",3,0.071,0.11468268707482994,0.046047679490740845
31,"Kargi et al., 2012",2,0.111,0.07468268707482993,0.020988163580357135
31,"Chu et al., 2012",1,0.066,0.11968268707482993,0.26724359388625263
31,"Jariyaboon et al., 2023",3,0.1069,0.07878268707482994,0.12058707861287789
31,"Albuquerque et al., 2024",11,0.11996454545454545,0.06571814162028448,0.04905905725614663
31,"Rydén & Lyngfelt, 2006",1,0.00102,0.18466268707482994,0.11872923875000008
31,"Cai et al., 2004b",1,0.31,0.12431731292517006,0.20334894958333294
31,"Di Perta et al., 2022",11,0.1261818181818182,0.05950086889301173,0.061885503268398236
31,"Panagiotopoulos et al., 2010",4,0.307925,0.12224231292517007,0.052875000000000005
31,"Mandal et al., 2006",2,0.3608,0.17511731292517008,0.14639149999999979
31,"Bundhoo et al., 2015",1,0.2239,0.038217312925170055,0.03436152976190454
31,"Chen et al., 2012",1,0.0248,0.16088268707482994,0.16962793478715738
31,"Han et al., 2014",1,0.2167,0.03101731292517007,0.022020962499999963
31,"Cárdenas et al., 2018",22,0.007872727272727273,0.17780995980210265,0.13296528087703982
32,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.3502068702553486,0.41363274346560835
32,"Ghimire et al., 2015",4,0.0995,0.01618201863354038,0.045421865832341334
32,"Tapia-Venegas et al., 2012",1,0.3359,0.2202179813664596,0.14358342916666655
32,"Fang & Liu, 2002",1,0.2613,0.1456179813664596,0.040742415833332574
32,"Nguyen et al., 2008",1,0.2737,0.15801798136645961,0.08120220113095242
32,"Chu et al., 2012",1,0.066,0.04968201863354038,0.015436639166666904
32,"Wang & Yin, 2018",1,0.016,0.09968201863354038,0.15302581341666727
32,"Jain et al., 2022",1,0.3732,0.2575179813664596,0.21478544999999896
32,"Cai et al., 2004b",1,0.31,0.1943179813664596,0.20408467380952375
32,"Zagklis et al., 2021",2,0.1431,0.02741798136645962,0.0619940358035713
32,"Ivanova et al., 2009",6,0.025778333333333337,0.08990368530020705,0.07276032911111074
32,"Zhang et al., 2006",2,0.14969,0.034007981366459605,0.022593478178571463
32,"Ergal et al., 2022",14,0.2817928571428571,0.16611083850931674,0.14369828687996034
32,"Bundhoo et al., 2015",1,0.2239,0.1082179813664596,0.06548544999999897
32,"Gavala et al., 2005",1,0.0463,0.06938201863354038,0.11207473430952311
32,"Okonkwo, 2019",15,0.30300000000000005,0.18731798136645966,0.1278335318555554
32,"Ottaviano et al., 2016",2,0.2066,0.09091798136645962,0.06336286761904791
33,"Lee et al., 2014",3,0.08276666666666667,0.07493092252252252,0.02656959097222221
33,"Muri et al., 2016",1,0.36,0.2023024108108108,0.2414706364285712
33,"Ghimire et al., 2015",4,0.0995,0.058197589189189186,0.0687917764012896
33,"Azbar et al., 2009",3,0.19799033333333335,0.04029274414414416,0.039344159226190674
33,"Gómez et al., 2006",1,0.0713,0.08639758918918919,0.054795028333333495
33,"Nguyen et al., 2008",1,0.2737,0.11600241081081081,0.1393420293772895
33,"Valdezvazquez et al., 2004",3,0.295,0.1373024108108108,0.1891517325694445
33,"Wang & Yin, 2018",1,0.016,0.14169758918918918,0.1499824662500005
33,"Lin & Chang, 2003",1,0.2115,0.0538024108108108,0.07668724166666716
33,"Massanet-Nicolau et al., 2009",1,0.027,0.1306975891891892,0.03611282833333343
33,"Alzate-Gaviria et al., 2007",1,0.099,0.05869758918918919,0.013142525863095167
33,"Tang et al., 2008",1,0.319,0.16130241081081081,0.248093413125
33,"Albuquerque et al., 2024",11,0.11996454545454545,0.03773304373464374,0.06529450422336998
33,"Yang et al., 2006",1,0.1045,0.053197589189189196,0.13372778452380962
33,"Nam et al., 2015",1,0.062,0.09569758918918919,0.0404989708333334
33,"Martins et al., 2022",3,0.00944,0.1482575891891892,0.2197860886996709
33,"Baeyens et al., 2020",2,0.2872,0.12950241081081082,0.12160488125000009
34,"Liu et al., 2015",2,0.061,0.10525282122905028,0.11308534500000059
34,"Ghimire et al., 2015",4,0.0995,0.06675282122905027,0.04602064211061511
34,"Chang et al., 2010",1,0.2264,0.060147178770949716,0.15374600083333345
34,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.10714645759268664,0.0898568356964777
34,"Gonzales et al., 2016",3,0.1327,0.03355282122905026,0.03416349854166661
34,"Fan et al., 2005",3,0.071,0.09525282122905028,0.04136766453703702
34,"Chu et al., 2012",1,0.066,0.10025282122905027,0.2143395528568658
34,"Massanet-Nicolau et al., 2009",1,0.027,0.13925282122905028,0.09226402229166664
34,"Martins et al., 2022",3,0.00944,0.15681282122905027,0.258762743042791
34,"Łukajtis et al., 2018",7,0.18394714285714286,0.01769432162809259,0.14104877362244878
34,"Zhi & Wang, 2014",1,0.00098,0.16527282122905027,0.03512636351863411
34,"Levin et al., 2006",2,0.14865,0.01760282122905027,0.12586140374999982
34,"Yang et al., 2006",1,0.1045,0.06175282122905028,0.1318258467559525
34,"Mandal et al., 2006",2,0.3608,0.19454717877094974,0.15988503750000038
34,"Bundhoo et al., 2015",1,0.2239,0.057647178770949714,0.10600604999999919
34,"Chen et al., 2012",1,0.0248,0.14145282122905029,0.18066774833333335
34,"Han et al., 2014",1,0.2167,0.05044717877094973,0.02785958541666672
35,"Liu et al., 2015",2,0.061,0.09595153225806452,0.1941213526659451
35,"Sun et al., 2014",1,0.2737,0.11674846774193548,0.1127526583333334
35,"Ghimire et al., 2015",4,0.0995,0.057451532258064514,0.04237901655315181
35,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.09784516862170088,0.08961281813328081
35,"Fan et al., 2005",3,0.071,0.08595153225806453,0.03498848690079371
35,"Nguyen et al., 2008",1,0.2737,0.11674846774193548,0.12475556214285707
35,"Valdezvazquez et al., 2004",3,0.295,0.13804846774193547,0.19070097750000006
35,"Mars et al., 2010",2,0.3415,0.1845484677419355,0.09680492767857082
35,"Kontodimos et al., 2025",2,0.00715,0.14980153225806453,0.304463213158059
35,"Tang et al., 2008",1,0.319,0.1620484677419355,0.2461256258333333
35,"Lin & Chang, 2003",1,0.2115,0.054548467741935475,0.0634295541666672
35,"Zhu & Beland, 2006",1,0.0282,0.12875153225806452,0.1193037499999994
35,"Chen et al., 2007",1,0.1539,0.00305153225806451,0.006954849999999374
35,"Lee et al., 2006",1,0.128,0.028951532258064516,0.050082535714286
35,"Bundhoo et al., 2015",1,0.2239,0.06694846774193547,0.023066110714285465
35,"Kumar & Das, 2000b",1,0.2737,0.11674846774193548,0.09981657261904753
35,"Mandal et al., 2006",2,0.3608,0.2038484677419355,0.19065545250000043
36,"Sun et al., 2014",1,0.2737,0.12590476331360945,0.05375156249999977
36,"Ghimire et al., 2015",4,0.0995,0.04829523668639055,0.06821999889880948
36,"Nguyen et al., 2008",1,0.2737,0.12590476331360945,0.08978959607142858
36,"Gómez et al., 2006",1,0.0713,0.07649523668639055,0.08035953950000019
36,"Wang & Yin, 2018",1,0.016,0.13179523668639054,0.1704737608095243
36,"Jariyaboon et al., 2023",3,0.1069,0.04089523668639056,0.07709345737694721
36,"Albuquerque et al., 2024",11,0.11996454545454545,0.027830691231845103,0.052642361701085424
36,"Lee et al., 2009",1,0.148,0.00020476331360944067,0.15880954500000113
36,"Zagklis et al., 2021",2,0.1431,0.004695236686390547,0.06479542298611107
36,"Ivanova et al., 2009",6,0.025778333333333337,0.12201690335305722,0.07691631840277739
36,"Zhang et al., 2006",2,0.14969,0.0018947633136094377,0.01824098229761923
36,"Morimoto et al., 2003",1,0.2613,0.11350476331360942,0.14274323916666717
36,"Nam et al., 2015",1,0.062,0.08579523668639055,0.02018416119047632
36,"Bundhoo et al., 2015",1,0.2239,0.07610476331360944,0.028893016666666438
36,"Mandal et al., 2006",2,0.3608,0.21300476331360946,0.15984239416666707
36,"Okonkwo, 2019",15,0.30300000000000005,0.1552047633136095,0.12034501123095219
36,"Ottaviano et al., 2016",2,0.2066,0.058804763313609454,0.072660671302309
37,"Lee et al., 2014",3,0.08276666666666667,0.08155675886524823,0.028140856777777765
37,"Muri et al., 2016",1,0.36,0.1956765744680851,0.18170172583333313
37,"Ghimire et al., 2015",4,0.0995,0.06482342553191489,0.049640855042162806
37,"Kontodimos et al., 2025",2,0.00715,0.1571734255319149,0.15478787962842705
37,"Azbar et al., 2009",3,0.19799033333333335,0.033666907801418455,0.0806438201984129
37,"Liu et al., 2009",1,0.0249,0.1394234255319149,0.24583212499999993
37,"Cai et al., 2009",1,0.0072,0.15712342553191488,0.16520241666666607
37,"Veeravalli et al., 2014",1,0.3185,0.1541765744680851,0.26669933583333333
37,"Jain et al., 2022",1,0.3732,0.20887657446808508,0.186199061904761
37,"Tang et al., 2008",1,0.319,0.1546765744680851,0.23517139117063507
37,"Derdiche et al., 2025",5,0.06497,0.0993534255319149,0.05543895276326177
37,"Pan et al., 2008",2,0.048,0.1163234255319149,0.09642746505952354
37,"Ivanova et al., 2009",6,0.025778333333333337,0.13854509219858155,0.20819816861111187
37,"Zhang et al., 2006",2,0.14969,0.014633425531914906,0.04570904248809514
37,"Zhi & Wang, 2014",1,0.00098,0.1633434255319149,0.23265539083333403
37,"Han et al., 2014",1,0.2167,0.05237657446808511,0.016645191666666698
37,"Kim, 2004",1,0.1229,0.0414234255319149,0.005493096934523836
38,"Collet, 2004",2,0.07365,0.09868380790960452,0.19085973482142887
38,"Muri et al., 2016",1,0.36,0.18766619209039548,0.27289024142857154
38,"Kotsopoulos et al., 2006",1,0.3073,0.1349661920903955,0.1270020604166669
38,"Tapia-Venegas et al., 2012",1,0.3359,0.16356619209039547,0.0976762422619041
38,"Fang et al., 2005",1,0.346,0.17366619209039547,0.22377097079365055
38,"Geng et al., 2010",1,0.1692,0.003133807909604519,0.027721763000000815
38,"Azbar et al., 2009",3,0.19799033333333335,0.025656525423728843,0.07802171053902111
38,"Kontodimos et al., 2025",2,0.00715,0.16518380790960452,0.2449834561231822
38,"Li et al., 2020",1,0.007,0.1653338079096045,0.10798220285317485
38,"Tang et al., 2008",1,0.319,0.1466661920903955,0.22109152779761942
38,"Lin & Chang, 2003",1,0.2115,0.039166192090395485,0.08278977023809633
38,"Jariyaboon et al., 2023",3,0.1069,0.06543380790960451,0.06449222804945082
38,"Cai et al., 2004b",1,0.31,0.1376661920903955,0.18954098142857115
38,"Lee et al., 2009",1,0.148,0.024333807909604516,0.15401369107142973
38,"Zagklis et al., 2021",2,0.1431,0.029233807909604503,0.07699286376984144
38,"Fan et al., 2005",3,0.071,0.10133380790960451,0.038462376592592724
38,"Cárdenas et al., 2018",22,0.007872727272727273,0.16446108063687723,0.08351747490243344
39,"Ghimire et al., 2015",4,0.0995,0.05591620588235294,0.04553900790322904
39,"Shen et al., 2010",1,0.19276,0.037343794117647044,0.061682296843434264
39,"Fang et al., 2005",1,0.346,0.19058379411764703,0.23576374846230125
39,"Kontodimos et al., 2025",2,0.00715,0.14826620588235295,0.24699407300019846
39,"Gonzales et al., 2016",3,0.1327,0.02271620588235293,0.036189907222222185
39,"Chaganti et al., 2012",1,0.056,0.09941620588235295,0.05361033333333324
39,"Jariyaboon et al., 2023",3,0.1069,0.04851620588235295,0.07831127132104047
39,"Derdiche et al., 2025",5,0.06497,0.09044620588235294,0.06307660528230682
39,"Pan et al., 2008",2,0.048,0.10741620588235294,0.08183869520833317
39,"Zagklis et al., 2021",2,0.1431,0.012316205882352937,0.06702866129960325
39,"Yang et al., 2006",1,0.1045,0.05091620588235295,0.11995691750000019
39,"Ivanova et al., 2009",6,0.025778333333333337,0.1296378725490196,0.10037809687499971
39,"Panagiotopoulos et al., 2010",4,0.307925,0.15250879411764706,0.052875000000000005
39,"Nam et al., 2015",1,0.062,0.09341620588235294,0.03628604363095246
39,"Kargi & Pamukoglu, 2009",1,0.3857,0.23028379411764704,0.2099274627976187
39,"Martins et al., 2022",3,0.00944,0.14597620588235294,0.24283345618215715
39,"Ergal et al., 2022",14,0.2817928571428571,0.12637665126050418,0.13408299630881523
