resample,study,n,study_mean,dist_from_train_mean,mae
4,"Di Perta et al., 2022",11,0.1261818181818182,0.035335224371373264,0.07144678172979789
4,"Zhang et al., 2006",2,0.14969,0.011827042553191475,0.027155428788690546
4,"Trad et al., 2015",3,0.11396666666666666,0.047550375886524804,0.07020996526984145
4,"Zhi & Wang, 2014",1,0.00098,0.16053704255319146,0.030663227346195462
4,"Chen et al., 2012",1,0.0248,0.13671704255319148,0.16829702006909744
4,"Dounavis et al., 2015",1,0.1266,0.034917042553191474,0.03611605031746004
5,"Kumar & Das, 2000b",1,0.2737,0.09757027683615818,0.07134822738095198
5,"Geng et al., 2010",1,0.1692,0.006929723163841828,0.013991337261905129
5,"Lee et al., 2014",3,0.08276666666666667,0.09336305649717515,0.047998967954545245
5,"Tapia-Venegas et al., 2012",1,0.3359,0.15977027683615816,0.13090891005952365
5,"Chang et al., 2010",1,0.2264,0.05027027683615817,0.15682928333333335
5,"Fang & Liu, 2002",1,0.2613,0.08517027683615816,0.05048087880952304
5,"Gonzales et al., 2016",3,0.1327,0.043429723163841805,0.026034787351190424
5,"Dounavis et al., 2015",1,0.1266,0.04952972316384183,0.03560249999999984
5,"Li et al., 2020",1,0.007,0.1691297231638418,0.15955468666666694
5,"Jain et al., 2022",1,0.3732,0.19707027683615816,0.18558846785714186
5,"Chen et al., 2007",1,0.1539,0.022229723163841808,0.02136454571428606
5,"Morimoto et al., 2003",1,0.2613,0.08517027683615816,0.1356627958333334
5,"Fan et al., 2005",3,0.071,0.10512972316384182,0.04011477740740745
5,"Cao et al., 2014",4,0.0486735,0.1274562231638418,0.09468918213541691
5,"Zahedi et al., 2012",1,0.052,0.12412972316384183,0.1887718316666662
5,"Kim, 2004",1,0.1229,0.05322972316384182,0.03052969784722205
5,"Cárdenas et al., 2018",22,0.007872727272727273,0.16825699589111454,0.13410654306721065
6,"Liu et al., 2015",2,0.061,0.11816540935672515,0.05984756431818202
6,"Sun et al., 2014",1,0.2737,0.09453459064327485,0.06643132499999987
6,"Tapia-Venegas et al., 2012",1,0.3359,0.15673459064327483,0.12426606749999972
6,"Akhbari & Ibrahim, 2022",11,0.05910636363636364,0.12005904572036151,0.09672014301375388
6,"Fang & Liu, 2002",1,0.2613,0.08213459064327483,0.03343059916666602
6,"Gómez et al., 2006",1,0.0713,0.10786540935672514,0.07016396583333348
6,"Liu et al., 2009",1,0.0249,0.15426540935672514,0.23200477976190423
6,"Cai et al., 2009",1,0.0072,0.17196540935672514,0.18498888333333285
6,"Chen et al., 2007",1,0.1539,0.025265409356725138,0.017002648214286126
6,"Levin et al., 2006",2,0.14865,0.030515409356725143,0.1470514113333332
6,"Lee et al., 2006",1,0.128,0.051165409356725144,0.06372080416666703
6,"Morimoto et al., 2003",1,0.2613,0.08213459064327483,0.12909602500000023
6,"Trad et al., 2015",3,0.11396666666666666,0.06519874269005849,0.07843314063492086
6,"Mars et al., 2010",2,0.3415,0.16233459064327488,0.0997869130952373
6,"Dounavis et al., 2015",1,0.1266,0.05256540935672516,0.06456667232142832
6,"Han et al., 2014",1,0.2167,0.03753459064327486,0.018298902499999464
6,"Cárdenas et al., 2018",22,0.007872727272727273,0.17129268208399787,0.10570498827922087
7,"Ghimire et al., 2015",4,0.0995,0.0808091717791411,0.06990814430253414
7,"Kargi et al., 2012",2,0.111,0.0693091717791411,0.015657429250991874
7,"Chang et al., 2010",1,0.2264,0.04609082822085889,0.12047609260101076
7,"Chaganti et al., 2012",1,0.056,0.12430917177914111,0.04854642916666644
7,"Chu et al., 2012",1,0.066,0.1143091717791411,0.14287076360722642
7,"Luo et al., 2010",2,0.06005,0.12025917177914111,0.2179413832231662
7,"Derdiche et al., 2025",5,0.06497,0.1153391717791411,0.04455562195507275
7,"Pendyala et al., 2012",1,0.056,0.12430917177914111,0.043826000732322505
7,"Chen et al., 2007",1,0.1539,0.026409171779141094,0.021923913988094706
7,"Albuquerque et al., 2024",11,0.11996454545454545,0.060344626324595654,0.06917727178025636
7,"Zagklis et al., 2021",2,0.1431,0.0372091717791411,0.10958361768398303
7,"Panagiotopoulos et al., 2010",4,0.307925,0.1276158282208589,0.052875000000000005
7,"Lee et al., 2006",1,0.128,0.0523091717791411,0.05732111250000027
7,"Kumar & Das, 2000b",1,0.2737,0.0933908282208589,0.05213333809523765
7,"Han et al., 2014",1,0.2167,0.0363908282208589,0.02155845416666674
7,"Kim, 2004",1,0.1229,0.05740917177914111,0.031234080684523727
7,"Cárdenas et al., 2018",22,0.007872727272727273,0.17243644450641382,0.13700830478649517
8,"Akinbomi & Taherzadeh, 2015",9,0.46588888888888896,0.32646276251526263,0.42440408870370355
8,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.07942612637362637,0.06304559007508125
8,"Collet, 2004",2,0.07365,0.06577612637362637,0.2579370270833334
8,"Kargi et al., 2012",2,0.111,0.028426126373626362,0.01089781698412702
8,"Chang et al., 2010",1,0.2264,0.08697387362637363,0.1523682083333333
8,"Fang & Liu, 2002",1,0.2613,0.12187387362637361,0.01908648166666596
8,"Nguyen et al., 2008",1,0.2737,0.13427387362637364,0.12353193776785706
8,"Gómez et al., 2006",1,0.0713,0.06812612637362636,0.04047448247619054
8,"Veeravalli et al., 2014",1,0.3185,0.17907387362637364,0.23792217491666662
8,"Levin et al., 2006",2,0.14865,0.009223873626373641,0.16466613507142858
8,"Di Perta et al., 2022",11,0.1261818181818182,0.013244308191808163,0.06457738683835101
8,"Mandal et al., 2006",2,0.3608,0.22137387362637365,0.15272596499999996
8,"Morimoto et al., 2003",1,0.2613,0.12187387362637361,0.12451696666666656
8,"Kargi & Pamukoglu, 2009",1,0.3857,0.24627387362637362,0.2136440604166665
8,"Nathao et al., 2013",1,0.057,0.08242612637362637,0.02929269496428575
8,"Kumar & Das, 2000b",1,0.2737,0.13427387362637364,0.06069536815476137
8,"Zahedi et al., 2012",1,0.052,0.08742612637362637,0.17969952613095216
9,"Alibardi & Cossu, 2014",4,0.060000000000000005,0.11315694078947366,0.07446086338541669
9,"Liu et al., 2015",2,0.061,0.11215694078947366,0.053500000000000006
9,"Kotsopoulos et al., 2006",1,0.3073,0.13414305921052636,0.1128544325000003
9,"Geng et al., 2010",1,0.1692,0.003956940789473673,0.02188993333333386
9,"Gonzales et al., 2016",3,0.1327,0.04045694078947365,0.05484294361111103
9,"Nguyen et al., 2008",1,0.2737,0.10054305921052634,0.07549789624999967
9,"Liu et al., 2009",1,0.0249,0.14825694078947366,0.2371037166666666
9,"Jariyaboon et al., 2023",3,0.1069,0.06625694078947367,0.0627824067130743
9,"Łukajtis et al., 2018",7,0.18394714285714286,0.010790202067669202,0.1282581618547722
9,"Pan et al., 2008",2,0.048,0.12515694078947365,0.10189121444940472
9,"Pendyala et al., 2012",1,0.056,0.11715694078947367,0.04977739749999938
9,"Lee et al., 2009",1,0.148,0.02515694078947367,0.09820968083333398
9,"Ivanova et al., 2009",6,0.025778333333333337,0.14737860745614031,0.0862401002083329
9,"Ergal et al., 2022",14,0.2817928571428571,0.10863591635338346,0.14099425658588438
9,"Mars et al., 2010",2,0.3415,0.16834305921052636,0.09949333124999918
