solids_gVS_L,eta_0,eta_50,eta_70,eta_85
10,0.6974416017797553,0.34872080088987767,0.20923248053392665,0.10461624026696333
20,0.34872080088987767,0.17436040044493883,0.10461624026696333,0.05230812013348166
30,0.23248053392658513,0.11624026696329257,0.06974416017797555,0.034872080088987775
50,0.13948832035595105,0.06974416017797552,0.04184649610678532,0.02092324805339266
100,0.06974416017797552,0.03487208008898776,0.02092324805339266,0.01046162402669633
150,0.04649610678531702,0.02324805339265851,0.01394883203559511,0.006974416017797555
