tier,n,studies,icc,augmented_median,augmented_lo,augmented_hi,rowwise_median,rowwise_lo,rowwise_hi,grouped_median,grouped_lo,grouped_hi,grouped_mean_median,grouped_mean_lo,grouped_mean_hi,gap_rowwise_minus_grouped,rf_minus_mean_grouped
T1  all records (mixed basis),224,82,0.7081811430204844,0.6520665094428437,0.47150188780834257,0.7490484324428475,0.43854135172082614,0.10884989628802758,0.605106454862445,-0.17397764960612472,-0.9532648284236933,0.3549974984684987,-0.18017410055186356,-1.0818004221862274,-3.299320032864598e-05,0.6125190013269508,0.006196450945738841
T2  drop COD / dry biomass / unstated,212,80,0.6992605817175197,0.6477655256063313,0.472405509757054,0.7725653739466999,0.3992093730101798,0.06187977254728357,0.6436358989829009,-0.018848693888080637,-1.196051708153384,0.2977886815806728,-0.10041365990156803,-1.5430421022760306,-0.007567177584455587,0.4180580668982604,0.0815649660134874
T3  T2 minus hexose-equivalent,178,74,0.6691610490153048,0.6076015721311909,0.34588243950039116,0.7479030939933687,0.37852912438272035,-0.27422324479273885,0.6019419213989496,-0.14483496353862302,-1.173121762429893,0.32384085232942855,-0.1206555957917087,-1.3638859474614293,-0.0020180293598458217,0.5233640879213434,-0.024179367746914315
T4  volatile solids only,101,38,0.7929063555637758,0.47603943986412167,0.16093971404263674,0.7647944125567404,0.26463945250290677,-2.2843714728943767,0.6620485233712925,-1.1134664786731672,-6.1934377364344675,-0.21824620655248503,-0.3350039978146109,-2.451752283177935,-0.0023329452012766675,1.378105931176074,-0.7784624808585563
