encoding,n_substrate_levels,median_r2,ci_lo,ci_hi
paper mapping (11 substrate classes),12,-0.17397764960612472,-0.9532648284236933,0.3549974984684987
raw literature strings,72,0.0769761523936997,-0.8800248405216138,0.3448176898347058
coarse 3-class substrate + mode only,3,-0.14553845629136497,-1.2017410345111752,0.4754861848068625
