model,rmse,mae,target_sd
CatBoost,0.13220693967728647,0.10987327160268812,0.14687485354462684
Mean predictor,0.13854640691031805,0.11752045144392001,0.14687485354462684
Random Forest,0.12374910140952394,0.10013734932563587,0.14687485354462684
Ridge (one-hot),0.1369153907322514,0.11320117589677903,0.14687485354462684
