protocol,model,median,lo,hi,n
augmented,CatBoost,0.6332708460821992,0.4741287562629669,0.7583097696735835,40
augmented,Random Forest,0.6520665094428437,0.47150188780834257,0.7490484324428475,40
grouped,CatBoost,-0.3504365763734675,-1.1567619606996846,0.29144516216606203,40
grouped,Mean predictor,-0.18017410055186356,-1.0818004221862274,-3.299320032864598e-05,40
grouped,Random Forest,-0.17397764960612472,-0.9532648284236933,0.3549974984684987,40
grouped,Ridge (one-hot),-0.3138300676639745,-1.6999620662384933,0.26792320898320815,40
rowwise,CatBoost,0.4418452289200552,0.10235654511747277,0.6286118455585079,40
rowwise,Random Forest,0.43854135172082614,0.10884989628802758,0.605106454862445,40
